speaker,event,frame_start,frame_end
speaker_left,greetings,9,33
speaker_left,intro_proposal,37,275
speaker_left,interjection,438,453
speaker_left,interjection,557,565
speaker_left,share_info,619,795
speaker_left,interjection,1032,1053
speaker_left,share_info,1188,1530
speaker_left,interjection,1625,1640
speaker_left,answer,1875,1910
speaker_left,discuss_open_question,2210,2285
speaker_left,discuss_open_question,2405,2425
speaker_left,discuss_open_question,2552,2705
speaker_left,interjection,2760,2773
speaker_left,interjection,2791,2797
speaker_left,conclusion,2824,2855
speaker_right,greetings,9,33
speaker_right,obj_proposal,298,430
speaker_right,share_info,1067,1170
speaker_right,interuption,1517,1625
speaker_right,interjection,1640,1670
speaker_right,interjection,2089,2105
speaker_right,open_question,2133,2206
speaker_right,interjection,2395,2403
speaker_right,discuss_open_question,2427,2450
speaker_right,interjection,2472,2495
speaker_right,interjection,2812,2822
speaker_right,bye,2828,2850
speaker_right,bye,2870,2885
speaker_front,greetings,9,33
speaker_front,need_info,460,605
speaker_front,interjection,704,715
speaker_front,share_info,810,1023
speaker_front,init_discussion,1675,1920
speaker_front,answer,1930,2128
speaker_front,discuss_open_question,2228,2255
speaker_front,interjection,2271,2285
speaker_front,discuss_open_question,2289,2388
speaker_front,interjection,2407,2425
speaker_front,interjection,2435,2450
speaker_front,discuss_open_question,2454,2550
speaker_front,interjection,2706,2722
speaker_front,discuss_open_question,2730,2759
speaker_front,conclusion,2775,2790
speaker_front,interjection,2798,2812
speaker_front,bye,2858,2870
