frame_number;event;key_point
1;sound_front;
9;speaker_left_start;greetings
9;speaker_front_start;greetings
9;speaker_right_start;greetings
33;speaker_left_stop;greetings
33;speaker_front_stop;greetings
33;speaker_right_stop;greetings
37;sound_left;
37;speaker_left_start;intro_proposal
45;sound_front;
275;speaker_left_stop;intro_proposal
298;speaker_right_start;obj_proposal
303;sound_right;
340;sound_front;
430;speaker_right_stop;obj_proposal
438;speaker_left_start;interjection
450;sound_left;
453;speaker_left_stop;interjection
460;speaker_front_start;need_info
480;sound_front;
557;speaker_left_start;interjection
565;speaker_left_stop;interjection
605;speaker_front_stop;need_info
619;speaker_left_start;share_info
627;sound_left;
675;sound_front;
704;speaker_front_start;interjection
715;speaker_front_stop;interjection
795;speaker_left_stop;share_info
810;speaker_front_start;share_info
823;sound_right;
866;sound_front;
1023;speaker_front_stop;share_info
1032;speaker_left_start;interjection
1039;sound_left;
1053;speaker_left_stop;interjection
1067;speaker_right_start;share_info
1080;sound_right;
1120;sound_front;
1170;speaker_right_stop;share_info
1188;speaker_left_start;share_info
1188;non_essential_info_start;
1198;sound_left;
1225;sound_front;
1517;speaker_right_start;interuption
1530;sound_right;
1530;speaker_left_stop;share_info
1530;non_essential_info_stop;
1557;sound_front;
1625;speaker_right_stop;interuption
1625;speaker_left_start;interjection
1640;speaker_left_stop;interjection
1640;sound_left;
1640;speaker_right_start;interjection
1670;speaker_right_stop;interjection
1655;sound_front;
1675;speaker_front_start;init_discussion
1695;sound_left;
1715;sound_front;
1875;speaker_left_start;answer
1885;sound_left;
1905;sound_front;
1910;speaker_left_stop;answer
1910;sound_left;
1920;speaker_front_stop;init_discussion
1928;sound_front;
1930;speaker_front_start;answer
2089;speaker_right_start;interjection
2105;speaker_right_stop;interjection
2128;speaker_front_stop;answer
2133;speaker_right_start;open_question
2160;sound_right;
2171;sound_front;
2206;speaker_right_stop;open_question
2210;speaker_left_start;discuss_open_question
2223;sound_left;
2228;speaker_front_start;discuss_open_question
2238;sound_front;
2255;speaker_front_stop;discuss_open_question
2271;speaker_front_start;interjection
2285;speaker_front_stop;interjection
2285;speaker_left_stop;discuss_open_question
2289;speaker_front_start;discuss_open_question
2388;speaker_front_stop;discuss_open_question
2395;speaker_right_start;interjection
2403;speaker_right_stop;interjection
2405;speaker_left_start;discuss_open_question
2406;sound_right;
2407;speaker_front_start;interjection
2420;sound_left;
2425;speaker_left_stop;discuss_open_question
2425;speaker_front_stop;interjection
2427;speaker_right_start;discuss_open_question
2435;speaker_front_start;interjection
2450;speaker_front_stop;interjection
2450;speaker_right_stop;discuss_open_question
2454;speaker_front_start;discuss_open_question
2460;sound_right;
2472;speaker_right_start;interjection
2475;sound_front;
2495;speaker_right_stop;interjection
2550;speaker_front_stop;discuss_open_question
2552;speaker_left_start;discuss_open_question
2573;sound_left;
2597;sound_front;
2705;speaker_left_stop;discuss_open_question
2706;speaker_front_start;interjection
2722;speaker_front_stop;interjection
2730;speaker_front_start;discuss_open_question
2759;speaker_front_stop;discuss_open_question
2760;speaker_left_start;interjection
2773;speaker_left_stop;interjection
2775;speaker_front_start;conclusion
2790;speaker_front_stop;conclusion
2791;speaker_left_start;interjection
2797;speaker_left_stop;interjection
2798;speaker_front_start;interjection
2812;speaker_front_stop;interjection
2812;speaker_right_start;interjection
2822;speaker_right_stop;interjection
2824;speaker_left_start;conclusion
2828;speaker_right_start;bye
2850;speaker_right_stop;bye
2855;speaker_left_stop;conclusion
2858;speaker_front_start;bye
2870;speaker_front_stop;bye
2870;speaker_right_start;bye
2885;speaker_right_stop;bye
